stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id
16290,8th St & Chestnut St ,39.949604,-75.153926,,,1
16291,8th St & Walnut St ,39.948105,-75.154262,,,1
16292,8th St & Locust St ,39.947047,-75.154491,,,1
16293,8th St & Spruce St ,39.945768,-75.154767,,,1
16294,8th St & Pine St ,39.944394,-75.155103,,,1
16295,8th St & Lombard St  ,39.94344,-75.155319,,,1
16296,8th St & South St ,39.942503,-75.155547,,,1
16297,8th St & Fitzwater St ,39.940585,-75.156008,,,1
16298,8th St & Catharine St ,39.939693,-75.156243,,,1
16299,8th St & Christian St,39.938649,-75.15644,,,1
16300,8th St & Carpenter St ,39.937239,-75.156717,,,1
16301,8th St & Federal St ,39.934171,-75.157425,,,1
16302,8th St & Wharton St ,39.932913,-75.157713,,,1
16303,8th St & Reed St ,39.931619,-75.157967,,,1
16304,8th St & Dickinson St ,39.930461,-75.158273,,,1
16305,8th St & Tasker St ,39.929265,-75.158513,,,1
16306,8th St & Morris St ,39.927971,-75.158783,,,1
16307,8th St & Moore St ,39.926749,-75.159023,,,1
16309,8th St & McKean St ,39.924349,-75.159564,,,1
16310,8th St & Jackson St ,39.921932,-75.160104,,,1
16311,8th St & Wolf St  ,39.920737,-75.160357,,,1
16312,8th St & Ritner St ,39.919443,-75.160657,,,1
16313,8th St & Porter St ,39.918222,-75.160928,,,1
16314,8th St & Shunk St ,39.916964,-75.161192,,,1
16316,Lehigh Av & 4th St,39.991792,-75.138309,,,1
16317,Lehigh Av & 3rd St,39.991674,-75.137399,,,1
16318,American St & Lehigh Av - FS,39.991341,-75.136207,,,1
16319,American St & Cumberland St ,39.988755,-75.136772,,,1
16320,American St & York St ,39.987015,-75.137099,,,1
16321,Dauphin St & Palethorp St ,39.985235,-75.135606,,,1
16322,Dauphin St & Hancock St ,39.985162,-75.135063,,,1
16323,Dauphin St & Mascher St ,39.985017,-75.134142,,,1
16325,Jasper St & York St,39.985224,-75.131105,,,1
16326,Jasper St & Cumberland St,39.986442,-75.128796,,,1
16327,Cumberland St & Emerald St,39.985556,-75.127996,,,1
16328,Cumberland St & Coral St,39.984581,-75.127102,,,1
16329,Cumberland St & Amber St,39.983705,-75.12635,,,1
16330,Cumberland St & Frankford Av,39.983258,-75.125938,,,1
16331,Cumberland St & Trenton Av,39.982399,-75.125233,,,1
16332,Cumberland St & Sepviva St,39.981639,-75.124528,,,1
16333,Cumberland St & Tulip St,39.981039,-75.123999,,,1
16334,Cumberland St & Memphis St,39.980386,-75.123422,,,1
16335,Cumberland St & Cedar St,39.979456,-75.122611,,,1
16336,Cumberland St & Gaul St,39.978428,-75.121694,,,1
16337,Cumberland St & Almond St,39.977828,-75.121177,,,1
16338,Cumberland St & Aramingo Av,39.97637,-75.119884,,,1
16339,Huntingdon St & Emery St,39.97579,-75.115856,,,1
16340,Huntingdon St & Edgemont St,39.976675,-75.116705,,,1
16341,Huntingdon St & Thompson St,39.977238,-75.117199,,,1
16342,Huntingdon St & Aramingo Av,39.978822,-75.118633,,,1
16343,Huntingdon St & Moyer St,39.97943,-75.119162,,,1
16344,Huntingdon St & Cedar St,39.980611,-75.120173,,,1
16345,Huntingdon St & Memphis St,39.981422,-75.120866,,,1
16346,Huntingdon St & Tulip St,39.982212,-75.121572,,,1
16347,Ridge Av & Summit Av,40.056349,-75.236002,,,1
16348,Huntingdon St & Sepviva St,39.982793,-75.122101,,,1
16349,Huntingdon St & Trenton Av,39.983446,-75.122677,,,1
16350,Huntingdon St & Frankford Av,39.985065,-75.12417,,,1
16351,Huntingdon St & Coral St,39.985597,-75.124474,,,1
16352,Huntingdon St & Emerald St,39.986737,-75.125593,,,1
16353,Huntingdon St & Jasper St,39.987694,-75.126416,,,1
16354,Huntingdon St & Kensington Av,39.988777,-75.127392,,,1
16355,Kensington Av & Cumberland St ,39.987559,-75.129701,,,1
16358,Susquehanna Av & Mascher St ,39.983483,-75.134408,,,1
16359,Susquehanna Av & Hancock St ,39.98361,-75.135341,,,1
16360,Susquehanna Av & 2nd St ,39.983773,-75.136415,,,1
16361,Susquehanna Av & American St ,39.98391,-75.137644,,,1
16362,Susquehanna Av & 3rd St,39.984082,-75.138895,,,1
16363,Susquehanna Av & 4th St,39.98421,-75.139911,,,1
16364,Susquehanna Av & 5th St,39.984428,-75.1418,,,1
16365,Susquehanna Av & 6th St ,39.98471,-75.143772,,,1
16367,Susquehanna Av & 9th St ,39.985209,-75.147716,,,1
